x,y,z,Class
-130.85,-41.23,-250.14,yaw
-56.67,48.89,-250.14,yaw
-60.96,19.67,-35.58,yaw
24.1,-113.26,250.13,yaw
104.48,20.53,250.13,yaw
-82.66,-35.66,196.66,yaw
1.99,-11.6,-26.82,yaw
-62.29,-6.17,-250.14,yaw
-25.75,86.15,-250.14,yaw
-12.44,57.65,-250.14,yaw
-48.67,-12.81,-25.62,yaw
-11.43,-21.09,250.13,yaw
110.09,145.01,250.13,yaw
-38.15,-121.32,198.77,yaw
-56.03,5.74,-48.57,yaw
-4.68,-23.4,-250.14,yaw
-69.41,57.33,-250.14,yaw
12.4,39.15,-250.14,yaw
-49.9,-27.47,36.35,yaw
61.31,-40.81,250.13,yaw
57.37,68.13,250.13,yaw
-14.17,-84.76,211.6,yaw
-21.63,31.1,-250.14,yaw
-158.73,-99.98,-250.14,yaw
-8.23,-27,-250.14,yaw
-53.33,-33.46,-109.18,yaw
-9.4,86.73,250.13,yaw
11.13,49.69,250.13,yaw
162.1,-146.24,250.13,yaw
-119.12,35.92,17,yaw
-19.4,10.98,-250.14,yaw
-125.6,7.6,-250.14,yaw
-32.54,32.36,-250.14,yaw
-80.47,-11.85,76.52,yaw
38.22,-106.01,250.13,yaw
112.98,42.56,250.13,yaw
-25.89,-47.97,154.56,yaw
-20.7,71.6,-250.14,yaw
-110.92,-68.08,-250.14,yaw
-45.63,43.31,-250.14,yaw
-15.23,-43.56,-179.11,yaw
7.97,92.05,250.13,yaw
51.56,-20.87,250.13,yaw
8.37,-163.82,250.13,yaw
-4.88,-1.89,-11.82,yaw
-27.76,-25.66,-250.14,yaw
-104.98,-48.06,-250.14,yaw
-21.98,76.42,-250.14,yaw
-28.59,-52.56,35.45,yaw
-8.15,-30.84,250.13,yaw
110.42,115.92,250.13,yaw
-106.9,-11.6,145.43,yaw
-26.27,44.02,-183.29,yaw
-56.11,-4.56,-250.14,yaw
-77.17,2.66,-250.14,yaw
11.35,9.82,-250.14,yaw
-35.27,-11.1,150.85,yaw
35.01,-40.22,250.13,yaw
109.9,105.47,250.13,yaw
-78.14,-1.14,96.44,yaw
-41.95,43.75,-232.05,yaw
-88.71,-69,-250.14,yaw
19.97,10.76,-250.14,yaw
-74.47,-95.01,-91.41,yaw
50.32,120.56,250.13,yaw
96.17,66.44,250.13,yaw
82.08,-98.04,250.13,yaw
-46.37,-35.95,73.06,yaw
-64.62,76.79,-250.14,yaw
-73.21,-15.2,-250.14,yaw
21.93,29.79,-250.14,yaw
-48.94,-58.22,-146.31,yaw
4.12,65.39,136.11,yaw
-0.27,87.19,250.13,yaw
-85.51,50.71,250.13,yaw
-79.21,-69.27,171.45,yaw
