x,y,z,Class
-250.14,-8.89,-91.45,pitch
-250.14,-17.46,-114.07,pitch
-79.08,-4.72,-23.89,pitch
179.95,10.03,60.01,pitch
250.13,-4.28,68.89,pitch
250.13,1.48,94.46,pitch
250.13,-14.54,34.55,pitch
109.97,-60.24,39.29,pitch
-224.46,56.85,-26.59,pitch
-250.14,-18.08,-87.98,pitch
-250.14,14.08,-63.53,pitch
-250.14,-60.95,-96.36,pitch
-8.65,2.5,1.57,pitch
250.13,-10.95,96.43,pitch
250.13,-17.11,77.79,pitch
250.13,-31.31,52.21,pitch
163.03,-9.4,27.84,pitch
29.47,-14.89,27.89,pitch
-250.14,74.89,-25.88,pitch
-250.14,64.69,-112.48,pitch
-250.14,42.5,-202.15,pitch
-197.79,48.29,-128.37,pitch
11.4,-16.4,-3.98,pitch
250.13,48.81,204.06,pitch
250.13,-48.86,214.86,pitch
250.13,64.82,120.21,pitch
3.98,-34.58,7.37,pitch
-222.34,20.52,-50.85,pitch
-250.14,-40.63,-70.34,pitch
-250.14,-82.84,-145.11,pitch
-179.05,63.47,-104.97,pitch
182.92,60.49,49.86,pitch
250.13,19.52,87.55,pitch
250.13,41.59,83,pitch
250.13,68.32,97.27,pitch
15.44,-10.63,22.33,pitch
-250.14,-43.17,-49,pitch
-250.14,-65.92,-43.88,pitch
-250.14,-19.61,-48.87,pitch
-198.3,-16.24,-52.13,pitch
34.34,54.76,18.37,pitch
250.13,35.33,117.63,pitch
250.13,54.82,71,pitch
250.13,112.51,69.55,pitch
46.74,-13.5,25.13,pitch
-36.02,18.79,-24.66,pitch
-250.14,-131.03,-49.17,pitch
-250.14,-148.11,-32.27,pitch
-227.01,12.79,-21.24,pitch
-10.08,23.11,1.2,pitch
250.13,17.9,42.6,pitch
250.13,30.56,-5.5,pitch
250.13,71.95,13.07,pitch
250.13,46.66,5.66,pitch
33.53,16.5,13.73,pitch
-250.14,-109.79,-0.03,pitch
-250.14,-110.19,-7.49,pitch
-250.14,-159.35,-9.8,pitch
33.69,5.66,43.16,pitch
250.13,67.76,59.02,pitch
250.13,37.53,45.93,pitch
250.13,57.49,37.6,pitch
163.46,-33.99,-3.5,pitch
-4.13,23.43,8.06,pitch
-250.14,-135.02,8.6,pitch
-250.14,-104.08,-34.92,pitch
-250.14,-151.42,-21.76,pitch
99.73,0.34,67.86,pitch
250.13,40.81,38.21,pitch
250.13,12.56,-8.89,pitch
250.13,23.28,2.13,pitch
250.13,19.43,3,pitch
103.24,22.43,6.98,pitch
12.65,11.31,-14,pitch
-250.14,-64.89,20.16,pitch
-250.14,-94.95,-4.55,pitch
-250.14,-92.96,-26.85,pitch
37.01,-8.82,38.56,pitch
250.13,35.66,114.66,pitch
250.13,24.74,61.05,pitch
250.13,88.23,19.14,pitch
206.82,-3.56,36.04,pitch
-32.15,2.02,-15.86,pitch
-250.14,-88.4,-13.02,pitch
-250.14,-77.88,-40.27,pitch
-250.14,-93.58,-20.86,pitch
3.66,-4.4,27.24,pitch
250.13,55.43,74.12,pitch
250.13,58.28,104.79,pitch
250.13,23.18,39.27,pitch
111.4,-31.08,-11.38,pitch
-161.66,-29.18,-31.68,pitch
-250.14,-108.5,-19.56,pitch
-250.14,-70.6,-6.12,pitch
-250.14,-98.21,-3.03,pitch
22.59,9.8,13.23,pitch
250.13,19.92,112.21,pitch
250.13,19.27,62.53,pitch
250.13,-3.91,-25.24,pitch
198.96,-7.7,-20.17,pitch
95.24,14.16,10.82,pitch
-250.14,-41.47,-2.89,pitch
-250.14,-69.78,-14.15,pitch
-250.14,-61.48,-18.38,pitch
-250.14,-44.17,-9.45,pitch
94.41,27.27,10.86,pitch
250.13,39.71,71.15,pitch
250.13,30.34,50.87,pitch
250.13,50.03,3.35,pitch
94.37,13.45,24.09,pitch
-116.46,2.45,-29.59,pitch
-250.14,-72.11,-12.76,pitch
-200.39,-16.6,-22.6,pitch
-250.14,-111.36,-59.11,pitch
-250.14,-136.38,-44.61,pitch
91.39,-30.37,30.67,pitch
250.13,-0.15,44.6,pitch
250.13,147.94,21.17,pitch
9.47,-53.58,-5.71,pitch
19.93,-26.62,3.13,pitch
-215.17,-19.05,-53.25,pitch
-250.14,-47.71,-60.26,pitch
-250.14,-62.31,4.5,pitch
-220.53,-19.95,-10.79,pitch
88.26,8.95,-15.48,pitch
250.13,49.11,45.63,pitch
250.13,-78.34,39.34,pitch
111.6,-29.81,-20.98,pitch
-76.87,23.51,-15.27,pitch
-250.14,-23.85,14.23,pitch
-250.14,-37.29,87.08,pitch
-158.51,-10.27,50.13,pitch
-23.13,48.21,7.72,pitch
250.13,48.66,-19.5,pitch
250.13,-20.81,-27.21,pitch
250.13,20.16,-26.04,pitch
82.46,24.31,0.84,pitch
-250.14,41.91,23.81,pitch
-250.14,-95.4,39.38,pitch
-250.14,-4.02,75.23,pitch
-14.15,79.13,-12.62,pitch
86.22,21.1,-12.31,pitch
250.13,141.06,107.41,pitch
250.13,-7.22,193.81,pitch
71.41,-50.5,27.7,pitch
-64.88,-2.59,-7.02,pitch
-250.14,-13.64,-104.63,pitch
-250.14,-109.46,3.83,pitch
-145.74,72.82,23.93,pitch
-67.02,49.34,-20.8,pitch
235.31,48.1,-8.07,pitch
250.13,39.71,102.6,pitch
250.13,-70.98,49.21,pitch
250.13,-2.04,48.49,pitch
148.13,-6.73,21.52,pitch
49.27,-10.6,1.98,pitch
-250.14,207.42,-71.66,pitch
-250.14,-44.85,-138.51,pitch
-250.14,-58.19,-14.52,pitch
-193.56,78.87,-47.07,pitch
1.76,-0.98,-11.18,pitch
250.13,34.37,8.2,pitch
250.13,124.27,221.95,pitch
250.13,139.37,93.27,pitch
202.65,-89.22,51.37,pitch
96.82,-55.18,15.41,pitch
74.4,-20.09,-1.82,pitch
44.71,12.34,-16.15,pitch
-250.14,-49.64,20.34,pitch
-250.14,9.41,15.67,pitch
-250.14,-10.18,-63.92,pitch
-250.14,-69.99,-146.17,pitch
-63.42,-23.21,0.08,pitch
250.13,104.07,57.46,pitch
250.13,107.49,57.31,pitch
250.13,85.67,87.16,pitch
250.13,41.92,77.27,pitch
250.13,-16.11,36.21,pitch
185.46,-36.08,9.79,pitch
56.08,-8.85,17.31,pitch
-250.14,1.22,25.65,pitch
-250.14,18.3,69.11,pitch
-250.14,84.8,-25.47,pitch
-250.14,57.23,-118.57,pitch
-148.04,-90.92,-27.98,pitch
169.57,49.06,35.74,pitch
250.13,87.71,87.62,pitch
250.13,123.53,138.44,pitch
250.13,73.6,88.64,pitch
224.56,-25.37,18.18,pitch
244.38,-74.78,12.09,pitch
-54.56,-33.74,28.66,pitch
-250.14,-11.8,100.3,pitch
-250.14,29.66,-6.43,pitch
-250.14,4.53,-44.49,pitch
-250.14,-51.68,-139.2,pitch
-142.24,54.53,17.24,pitch
-44.85,50.83,3.9,pitch
250.13,17.64,87.3,pitch
250.13,108.19,131.63,pitch
250.13,61.64,85.69,pitch
250.13,48.87,30.73,pitch
70.5,-35.8,8.85,pitch
-250.14,-39.28,12.53,pitch
-250.14,-36.43,45.82,pitch
-250.14,-46.53,-53.02,pitch
-250.14,-67.95,-201.43,pitch
55.39,18.73,100.51,pitch
127.95,13.27,31.27,pitch
250.13,-37.91,49.93,pitch
250.13,142.13,143.52,pitch
250.13,50.91,8.29,pitch
250.13,24.98,11.48,pitch
49.15,-34.18,27.18,pitch
