x,y,z,Class
-43.31,250.13,-10.44,roll
-27.2,250.13,-3,roll
4.2,157.97,-23.53,roll
1.12,92.81,-23.38,roll
-7.21,-71.4,31.12,roll
-13.02,-196.74,11.34,roll
-4.59,-223.2,-12.01,roll
-1.79,-250.14,17.52,roll
23.5,-135.16,-4.99,roll
3.54,-21.95,-18.34,roll
-1.76,204.71,17.5,roll
-6.54,250.13,19.96,roll
11.29,250.13,-29.19,roll
9.64,28.14,12.7,roll
1.66,-128.05,17.46,roll
-38.35,-234.38,-25.62,roll
87.6,-250.14,-15.85,roll
64.37,-107,-7.76,roll
-33.87,189.58,-11.12,roll
-46.53,196.87,-53.7,roll
-36.57,117.4,31.63,roll
-34.98,72.37,-17.56,roll
-31.93,234.92,12.44,roll
-76.63,250.13,24.37,roll
-35.07,31.52,-14.34,roll
29.4,-182.14,-54.28,roll
101.95,-250.14,-112.16,roll
122.35,-250.14,-22.17,roll
16.62,-30.81,47.82,roll
5.37,134.88,24.89,roll
173.08,105.69,58.28,roll
89.67,130.77,-81.15,roll
-4.05,224.55,-15.41,roll
-49.07,193.01,-37.59,roll
-62.56,36.56,-6.81,roll
-68.62,-250.14,56.59,roll
59.49,-250.14,36.71,roll
24.31,-182.94,35.77,roll
-51.31,30.11,23.26,roll
-1.01,250.13,10.7,roll
-150,250.13,34.94,roll
2.95,250.13,24.92,roll
45.22,40.35,5.82,roll
74.9,-250.14,-18,roll
-19,-250.14,-14.84,roll
-73.08,-214.3,-45.32,roll
61.13,-250.14,-54.2,roll
42.36,-179.78,-20.73,roll
12.74,93.63,21.35,roll
-31.1,250.13,71.63,roll
-36.1,250.13,87.43,roll
8.88,250.13,54.72,roll
21.06,115.41,24.15,roll
5.61,-1.01,-0.05,roll
14.75,-250.14,-44.05,roll
-20.06,-250.14,-50.18,roll
8.06,-250.14,-80.87,roll
26.83,-81.64,10.1,roll
20.34,-97.5,-18.34,roll
-8.69,-42.71,-9.37,roll
-12.32,250.13,63.8,roll
-101.69,250.13,46.08,roll
-47.76,250.13,124.08,roll
12.59,197.56,56.48,roll
36.74,-183.82,-8.56,roll
20.36,-250.14,-59.83,roll
-9.5,-250.14,-37.18,roll
71.11,-250.14,-49.81,roll
28.65,-227.83,-1.82,roll
-4.87,28.5,7.69,roll
10.62,250.13,22.66,roll
-72.45,250.13,6.66,roll
-43.82,250.13,76.21,roll
-6.98,250.13,97.44,roll
28.46,179.38,31.83,roll
14,-131.59,-12.6,roll
5.62,-250.14,-51.08,roll
-28.4,-218.32,-32.99,roll
19.44,-250.14,-29.95,roll
19.21,-250.14,-28.06,roll
24.5,-175.07,1.75,roll
22.84,-189.24,-35.81,roll
-4.11,-28.18,-22.42,roll
-22.96,250.13,41.82,roll
-82.2,250.13,21.99,roll
-50.6,250.13,50.99,roll
-22.44,250.13,40.33,roll
1.42,157.01,33.33,roll
-14.81,119.29,41.88,roll
34.28,-236.26,-23.65,roll
18.89,-250.14,-31.88,roll
-40.91,-250.14,-49.37,roll
44.56,-250.14,-35.6,roll
-4.62,-143.27,-3.19,roll
-8.18,27.55,-9.98,roll
31.94,250.13,16.1,roll
-65.97,250.13,12.56,roll
-80.37,250.13,129.11,roll
32.45,250.13,39.08,roll
12.05,152.73,21.27,roll
10.17,-7.79,55.66,roll
22.4,-218.6,-6.31,roll
-4.31,-250.14,-62.87,roll
-7.1,-250.14,-116.5,roll
83.63,-250.14,-81.07,roll
0.72,-220.45,-28.89,roll
-1.2,90.54,5.92,roll
-41.71,250.13,-17.36,roll
-124.2,250.13,-24.79,roll
-138.97,250.13,96.17,roll
6.09,250.13,88.75,roll
47.79,83.05,30.82,roll
22.66,-250.14,-1.02,roll
-13.12,-250.14,3.82,roll
-22.34,-250.14,-14.04,roll
91.27,-250.14,-37.9,roll
3.95,-250.14,-23.01,roll
0.38,42.5,-0.19,roll
-17.92,250.13,18.31,roll
-90.21,250.13,35.96,roll
-35.69,250.13,93.84,roll
3.85,250.13,16.5,roll
60.24,79.87,7.5,roll
78.74,-250.14,31.02,roll
-46.02,-250.14,17.54,roll
-45.48,-250.14,-41.04,roll
53.2,-250.14,-90.04,roll
49.81,-141.58,-31.35,roll
-7.94,118,4.95,roll
-53.92,250.13,38.6,roll
-43.6,250.13,35.63,roll
-70.56,250.13,88.51,roll
24.92,250.13,44.5,roll
36.86,82.77,-0.85,roll
21.32,-237.17,6.5,roll
16.66,-250.14,17.55,roll
5.52,-250.14,-26.01,roll
36.69,-250.14,-56.47,roll
47.01,-77.7,-5.51,roll
-24.02,241.46,23.7,roll
-112.05,250.13,46.44,roll
-116.07,250.13,177.33,roll
27.53,233.05,105.11,roll
36.84,-151.11,10.44,roll
-47.63,-250.14,-110.27,roll
90.34,-175.07,62.34,roll
84.89,-185.29,-56.45,roll
146.08,-239.49,22.9,roll
0.93,-46.17,37.69,roll
45.89,55.95,18.79,roll
-53.17,250.13,-8.57,roll
-33.33,250.13,-60.44,roll
-54.95,118.37,-30.87,roll
-33.79,47.16,21.66,roll
11.53,-123.79,83.6,roll
79.7,-250.14,22.92,roll
2.53,-129.95,15.29,roll
26.36,-204.18,60.59,roll
15.94,-109.33,70.61,roll
-43.16,-87.74,35.92,roll
-68.75,118.55,7.89,roll
-2.15,216.3,-50.89,roll
-28.18,250.13,-45.66,roll
11.49,166.29,-20.48,roll
-32.95,19.65,-56.37,roll
56.68,-210.45,9.5,roll
84.37,-250.14,123.15,roll
32.55,-203.48,76.85,roll
-25.8,-13.79,21.7,roll
-60.55,191,-2.18,roll
-29.28,250.13,-0.91,roll
1.33,250.13,-25.11,roll
65.97,204.7,-22.1,roll
13.62,170.11,14.63,roll
6.51,-250.14,-16.76,roll
16.56,-250.14,49.88,roll
16.99,-250.14,37.93,roll
68.12,-250.14,-2.48,roll
16.78,-104.21,7.24,roll
-54.27,187.75,7.85,roll
-35.45,250.13,16.98,roll
44.51,250.13,-1.24,roll
14.99,250.13,-33.85,roll
3.38,209.69,-22.66,roll
11.1,-88.05,-14.87,roll
2.83,-250.14,5.59,roll
7.3,-250.14,43.27,roll
52.21,-250.14,14.83,roll
14.56,-178.66,1.29,roll
-2.72,191.27,-3.33,roll
-30.96,250.13,-1.49,roll
-3.81,250.13,-33.62,roll
-21.59,250.13,-24.63,roll
-0.69,163.69,-27.25,roll
0.08,-164.99,-25.66,roll
5.47,-250.14,-36.96,roll
69.86,-250.14,25.32,roll
68.5,-241.41,81.09,roll
29.72,-169.41,20.46,roll
-25.01,118.71,-3.57,roll
-90.37,250.13,3.48,roll
15.39,250.13,-3.19,roll
18.6,250.13,-42.44,roll
1.05,195.02,-6.65,roll
25.76,-155.04,-35.36,roll
6.28,-250.14,-28.67,roll
17.73,-250.14,18.97,roll
84.56,-250.14,69.87,roll
4.15,-103.85,12.72,roll
-16.11,137.21,8.01,roll
10.31,250.13,32.76,roll
8.61,228.55,-20.85,roll
2.93,192.72,10.03,roll
-9.27,124.63,-13.53,roll
7.79,-49.4,-49.57,roll
23.7,-250.14,-72.34,roll
110.95,-250.14,35.54,roll
66.73,-250.14,93.42,roll
-24.76,-35.76,-21.58,roll
-45.58,155.39,-25.53,roll
-73.28,239.63,12.29,roll
-119.16,250.13,-10.83,roll
-16.73,188.27,-27.14,roll
-42.73,236.37,-13.1,roll
2.49,16.47,10.05,roll
17.61,-240.24,-13.96,roll
46.93,-250.14,3.08,roll
58.18,-250.14,-43.44,roll
48.1,-47.66,54.31,roll
-21.87,199.77,15.44,roll
-21.86,250.13,12.25,roll
-62.2,250.13,-4.38,roll
0.95,36.26,-20.84,roll
18.07,-244.2,13.52,roll
58.07,-250.14,18.34,roll
-18.07,-250.14,-7.5,roll
-27.83,-113.53,-18.4,roll
15.04,53.37,-10.82,roll
-47.55,250.13,15.8,roll
-46.16,250.13,25.6,roll
-17.44,250.13,15.53,roll
6.89,5.52,0.48,roll
-1.53,-204.73,-28.73,roll
68.45,-250.14,-56.87,roll
51.82,-250.14,-5.79,roll
28.38,-214.05,13,roll
8.71,-87.36,25.29,roll
-2.52,-22.96,-8.34,roll
-9.77,250.13,-41.15,roll
-56.59,250.13,15.56,roll
-42.13,250.13,36.82,roll
7.92,49.28,-14.92,roll
14.48,-250.14,-15.08,roll
12.46,11.6,20.9,roll
-54.59,-250.14,-34.33,roll
-13.82,-35.52,-9.95,roll
91.28,-75.45,17.55,roll
33.97,-120.12,-18.95,roll
-31.21,-119.95,1.21,roll
-16.55,46.92,33.77,roll
-82.89,149.99,24.08,roll
134.11,152.85,24.57,roll
6.66,250.13,-49.72,roll
30.04,250.13,-42.15,roll
-43.48,236.47,-41.4,roll
10.81,137.95,-26.4,roll
-1.89,-51.53,-12.81,roll
-1.38,-250.14,-65.81,roll
63.05,-250.14,-14.51,roll
8.8,-250.14,-27.82,roll
-101.86,-178.28,18.95,roll
8.77,-38.04,12.06,roll
23.55,86.05,-1.5,roll
53.41,242.31,50.89,roll
7.55,250.13,3.65,roll
-32.22,250.13,-40.55,roll
-4.71,244.29,-8.48,roll
23.69,46.87,-11.05,roll
29.66,-197.33,-5.48,roll
3.29,-250.14,-0.93,roll
-1.77,-250.14,12.48,roll
29.77,-250.14,25.79,roll
-0.15,-116.3,52.58,roll
-5.11,-77.51,44.21,roll
-12.46,173.6,-49.11,roll
33.92,250.13,-13.26,roll
-26.21,250.13,-39.2,roll
-25.78,250.13,-16.02,roll
8.06,118.6,-28.35,roll
21.77,-186.56,27.87,roll
49.41,-250.14,29.69,roll
-5.69,-250.14,19.57,roll
54.9,-250.14,59.06,roll
-8.86,-31.17,3.75,roll
-39.28,250.13,-1.53,roll
1.95,250.13,2.83,roll
-23.21,250.13,-7.85,roll
-1.38,169.14,11.6,roll
1.05,-219.32,14.28,roll
-6.62,-250.14,10.6,roll
-23.63,-250.14,14.12,roll
4.54,-250.14,-18.86,roll
46.06,-154.22,-3.28,roll
19.38,-6.37,8.31,roll
-69.5,250.13,-9.88,roll
-2.43,250.13,-22.56,roll
14.1,250.13,-7.74,roll
-8.42,181.35,-35.65,roll
-27.01,102.35,-62.92,roll
-11.95,-216.37,21.22,roll
-30.68,-225.76,-0.37,roll
25.27,-250.14,-34.7,roll
88.53,-250.14,12.18,roll
43.38,-94.95,32.93,roll
-36.5,127.9,-1.87,roll
-65.52,250.13,-20.93,roll
-13.12,250.13,18.24,roll
-39.67,250.13,1.68,roll
-35.88,247.58,3.86,roll
14.85,-38.5,-43.7,roll
45.21,-211.06,-15.04,roll
104.94,-250.14,14.74,roll
12.82,-217.65,44.56,roll
10.69,-159.48,21.7,roll
-1.6,83.9,-8.36,roll
-10.92,250.13,5.14,roll
-57.84,250.13,-4.35,roll
2.06,131,2.08,roll
1.95,1.36,-9.39,roll
7.7,-250.14,-9.81,roll
1.83,-250.14,-19.94,roll
-1.61,-250.14,8.02,roll
26.89,-193.77,-4.39,roll
-38.12,118.81,0.71,roll
-20.11,250.13,7.87,roll
5.95,250.13,10.5,roll
-26.28,250.13,7.85,roll
22.79,36.97,-8.4,roll
4.6,-250.14,-21.95,roll
26.53,-250.14,-12.79,roll
1.23,-187.35,10.69,roll
39.84,-123.94,-2.78,roll
45.57,-190.37,-21.5,roll
46.27,-228.1,12.48,roll
-1.27,46.69,-0.71,roll
-52.89,250.13,20.63,roll
2.57,250.13,-1.66,roll
13.51,250.13,-30.39,roll
-13.89,160.83,-0.63,roll
-34.15,34.89,-103.83,roll
9.31,-110.43,21.92,roll
59.18,-250.14,-38.39,roll
33.63,-206.79,-68.07,roll
23.1,-196.37,26.2,roll
41.76,-187.44,56.09,roll
36.33,-107.48,21.08,roll
-24.24,87.42,-3.34,roll
-31.6,250.13,-12.4,roll
-21.98,250.13,25.89,roll
-18.87,227.02,-27.33,roll
12.3,91.79,-24.54,roll
-0.49,-75.84,24.56,roll
-3.17,-250.14,-0.15,roll
-21.34,-250.14,17.03,roll
23.26,-239.1,-3.17,roll
83.61,-249.5,-30.95,roll
6.09,-12.83,-5.54,roll
-71.02,250.13,-9.97,roll
-26.94,250.13,10.79,roll
-15.46,250.13,4.37,roll
-12.91,250.13,1.96,roll
4,-17.07,-13.33,roll
21.73,-250.14,8.06,roll
25.52,-250.14,14.79,roll
5.65,-187.92,19.73,roll
65.94,-250.14,-6.13,roll
7.48,-143.66,-2.09,roll
-57.59,227.85,-4.49,roll
-8.58,250.13,18.54,roll
-12.9,250.13,-3.26,roll
-21.61,240.02,3.82,roll
22.44,39.08,-2.65,roll
-6.89,-210.43,-15.6,roll
-10.49,-250.14,8.18,roll
-21.76,-250.14,-0.21,roll
84.04,-238.87,-6.27,roll
-1.95,36.54,-11.05,roll
-51.49,250.13,-5.94,roll
1.61,250.13,8.69,roll
-9.43,250.13,-19,roll
-13.48,208.6,-15.75,roll
3.88,38.92,-6.46,roll
16.95,-209.64,-11.09,roll
14.63,-250.14,22.35,roll
45.37,-250.14,-5.3,roll
-3.44,-211.4,-9.75,roll
55.74,-216.07,-15.61,roll
19.56,-49.85,0.89,roll
-59.92,250.13,-6.85,roll
-15.88,250.13,26.02,roll
-47.4,250.13,-2.09,roll
8.86,250.13,3.68,roll
27.83,5.05,-23.34,roll
19.01,-250.14,-23.42,roll
-19.77,-250.14,18.23,roll
-41.84,-250.14,-6.99,roll
26.24,-250.14,-19.72,roll
12.76,-24.58,12.52,roll
-10.94,250.13,12.24,roll
1.05,250.13,5.95,roll
6.69,250.13,-0.31,roll
1.24,250.13,16.92,roll
-5.9,107.41,-33.33,roll
-11.11,-186.71,-17.99,roll
-2.66,70.82,18.02,roll
-89.59,-250.14,-30.61,roll
10.73,-187.47,-29.46,roll
45.95,-184.56,-19.22,roll
-66.7,-186.01,-39.64,roll
-31.32,27.6,-20.14,roll
10.85,250.13,-12.9,roll
-37.85,250.13,-61.4,roll
-31.32,250.13,4.76,roll
-43.02,244.42,-45.69,roll
-42.82,208.53,-8.98,roll
33.34,-41.96,33.81,roll
44.52,-250.14,27.89,roll
14.89,-250.14,64.53,roll
31.82,-250.14,-9.25,roll
43.77,-250.14,13.34,roll
4.27,-44.04,2.8,roll
-74.75,250.13,-10.59,roll
-8.4,250.13,8.24,roll
-5.3,250.13,-4.44,roll
-18.01,250.13,-28.07,roll
3.79,-159.96,-80.5,roll
44.74,-250.14,-29.34,roll
51.4,-250.14,21.12,roll
62.85,-250.14,20.07,roll
57.17,-201.69,-2.57,roll
-40.71,165.95,-7.17,roll
-64.72,250.13,-6.5,roll
-73.43,250.13,30.28,roll
-64.96,250.13,30.02,roll
-62.03,170.81,-26.47,roll
52.3,-176.73,-24.95,roll
90.74,-250.14,-25.88,roll
12.27,-250.14,-26.8,roll
50.31,-250.14,29.06,roll
51.43,-81.3,-7.42,roll
-59.29,250.13,-20.32,roll
-35.21,250.13,29.9,roll
-55.55,250.13,16.76,roll
-26.48,195.73,30.58,roll
43.09,-21.18,-21.56,roll
34.6,-250.14,-11.97,roll
12.07,-250.14,-22.54,roll
76.44,-250.14,18.39,roll
85.31,-236.45,12.74,roll
-51.39,106.66,-2.53,roll
-53.6,250.13,0.22,roll
-18.88,250.13,20.43,roll
-39.21,250.13,7.25,roll
-52.5,239.01,11.67,roll
19.68,80.21,-21.39,roll
33.94,-234.7,6.91,roll
-6.99,-250.14,-17.13,roll
-48.67,-177.92,-45.03,roll
118.31,-250.14,-25.05,roll
-21.54,-141.92,16.61,roll
-16.32,246.06,-8.96,roll
-0.66,250.13,32.51,roll
-49.74,250.13,30.98,roll
-16.73,141.97,47.5,roll
37.44,-32.75,-12.13,roll
-7.11,-250.14,-29.44,roll
10.15,-250.14,-46.53,roll
38.76,-250.14,-20.22,roll
69.24,-221.53,18.61,roll
23.5,-66.42,-2.77,roll
-44.41,200.73,-16.67,roll
-10.39,250.13,9.43,roll
-15.06,250.13,24.11,roll
-16.5,227.13,24.39,roll
-12.93,-26.6,-28.64,roll
19.13,-250.14,-43.82,roll
18.82,-250.14,-45.91,roll
-13.03,-250.14,-13.07,roll
42,-244.34,20.32,roll
24.66,75.63,-6.92,roll
-25.43,250.13,2.02,roll
29.19,250.13,14.91,roll
-11.27,250.13,-5.78,roll
-38.84,201.92,6.6,roll
40.24,-163,-20.06,roll
0.24,-250.14,-57.32,roll
-5.86,-250.14,-25.05,roll
69.82,-250.14,28.31,roll
82.34,-182.37,-25.72,roll
-37.26,185.24,-27.43,roll
-36.39,250.13,6.5,roll
-41.51,250.13,24.04,roll
-32.5,250.13,-0.09,roll
-9.28,104.98,4.51,roll
13.47,-160.03,-17.33,roll
41.38,-250.14,-11.34,roll
36.47,-250.14,-13.78,roll
104.27,-250.14,25.06,roll
21.19,-206.58,13.51,roll
-28.5,131.92,-11.27,roll
-104.96,250.13,12.27,roll
-47.02,250.13,29.6,roll
-51.13,250.13,16.49,roll
-13.93,213.57,24.98,roll
14.11,-133.04,1.14,roll
-15.43,-250.14,-11.15,roll
-14.03,-250.14,-4.65,roll
-2.1,-250.14,-38.87,roll
74.29,-250.14,-20.95,roll
-14.94,31.73,-9.06,roll
5.02,250.13,3.34,roll
7.7,250.13,23.72,roll
15.79,250.13,-38.81,roll
3.84,250.13,23.99,roll
-24.31,32.23,5.53,roll
-26.8,-250.14,-29.46,roll
21.63,-250.14,17.93,roll
-51.72,-250.14,-14.53,roll
32.1,-250.14,-18.27,roll
-10.37,-45.95,-23.62,roll
-50.92,236.32,-10.21,roll
-3.8,250.13,22.22,roll
-18.29,250.13,8.02,roll
-8.19,250.13,35.41,roll
-6.18,-136.46,6.28,roll
30.66,-250.14,-6.68,roll
2.52,-250.14,-36.9,roll
35.4,-250.14,-0.03,roll
54.12,-198.11,4.42,roll
-39.53,227,-24.57,roll
-36.27,250.13,2.34,roll
-60.08,250.13,-17.6,roll
-61.65,250.13,16.47,roll
65.31,-90.59,-18.68,roll
50.07,-250.14,-6.08,roll
-8.02,-250.14,-8.53,roll
61.06,-250.14,4.76,roll
77.84,-208.03,-10.5,roll
-8.25,30.6,-6.79,roll
-53.55,250.13,-22.98,roll
16.1,250.13,39.31,roll
-25.38,250.13,-17.47,roll
-19.79,59.95,-26.05,roll
